go	geh
tom is a wimp	tom ist ein weichei
tom is abroad	tom ist im ausland
tom is absent	tom ist nicht da
tom is afraid	tom hat angst
tom is asleep	tom schlaft
tom is better	tom geht es besser
tom is biased	tom ist parteiisch
tom is boring	tom ist langweilig
tom is chubby	tom ist ein pummel
tom is chubby	tom ist pummelig
tom is clever	tom ist klug
tom is coming	tom kommt
tom is crafty	tom ist schlau
tom is crafty	tom ist gerissen
tom is cranky	tom ist unleidlich
tom is crying	tom weint
tom is crying	tom heult
tom is dozing	tom dost
tom is dozing	tom schlummert
tom is driven	tom ist ehrgeizig
tom is family	tom gehort zur familie
tom is filthy	tom ist schmutzig
tom is frugal	er ist sparsam
tom is frugal	tom ist sparsam
tom is heroic	tom ist heldenhaft
tom is hiding	tom versteckt sich
tom is hiding	tom versteckt sich gerade
tom is honest	tom ist aufrichtig
tom is honest	tom ist ehrlich
tom is joking	tom witzelt
tom is joking	tom scherzt
tom is joking	tom macht witze
tom is lonely	tom ist einsam
tom is losing	tom verliert
tom is loving	tom ist liebevoll
tom is loving	tom liebt
tom is my boy	tom ist mein junge
tom is my dad	tom ist mein vater
tom is my dad	tom ist mein papa
tom is my dad	tom ist mein vati
tom is nearby	tom ist in der nahe
tom is normal	tom ist normal
tom is not in	tom ist nicht hier
tom is now up	tom ist jetzt auf
tom is paying	tom bezahlt
tom is rested	tom ist ausgeruht
tom is scared	tom hat angst
tom is simple	tom ist einfaltig
tom is skinny	tom ist mager
tom is sleepy	tom ist schlafrig
tom is sneaky	tom ist raffiniert
tom is strict	tom ist streng
tom is strong	tom ist stark
tom is stupid	tom ist blod
tom is thirty	tom ist dreiig
tom is trying	tom versucht es
tom is unkind	tom ist unfreundlich
tom is unwell	tom ist schlecht
tom is wasted	tom ist erledigt
tom is wicked	tom ist verrucht
tom isnt wet	tom ist nicht nass
tom joined us	tom trat uns bei
tom joined us	tom gesellte sich zu uns
tom just died	tom ist gerade gestorben
tom just left	tom ist gerade gegangen
tom kept warm	tom hielt sich warm
tom knew mary	tom kannte maria
tom knew that	tom wusste das
tom knew this	tom wusste das
tom knows her	tom kennt sie
tom knows him	tom kennt ihn
tom knows why	tom kennt den grund
tom knows you	tom kennt dich
tom left town	tom verlie die stadt
tom let us go	tom lie uns gehen
tom liked you	tom mochte dich
tom liked you	tom mochte sie
tom liked you	tom mochte euch
tom likes her	tom mag sie
tom likes him	tom mag ihn
tom likes tea	tom liebt tee
tom likes you	tom mag dich
tom looked ok	tom sah okay aus
tom looked up	tom schaute nach oben
tom looked up	tom blickte auf
tom looks sad	tom sieht traurig aus
tom lost mary	tom verlor maria
tom loved you	tom hat dich geliebt
tom loves you	tom liebt dich
tom loves you	tom liebt sie
tom loves you	tom liebt euch
tom made rice	tom hat reis gemacht
tom may be ok	tom ist vielleicht okay
tom may be up	tom ist vielleicht auf
tom may leave	tom kann gehen
tom may leave	tom kann weggehen
tom might cry	tom konnte weinen
tom needs you	tom braucht dich
tom needs you	tom braucht sie
tom needs you	tom braucht euch
tom needs you	tom hat dich notig
tom opened up	tom offnete
tom overslept	tom hat verschlafen
tom protested	tom protestierte
tom pushed me	tom schubste mich
tom raised me	tom hat mich aufgezogen
tom recovered	tom hat sich erholt
tom remembers	tom erinnert sich
tom runs fast	tom ist ein schneller laufer
tom runs fast	tom rennt schnell
tom rushed in	tom sturzte hinein
tom rushed in	tom sturzte herein
tom rushed in	tom sturmte herein
tom rushed in	tom sturmte hinein
tom said that	das hat tom gesagt
tom said that	tom hat das gesagt
tom sat alone	tom sa allein
tom scares me	tom macht mir angst
tom set me up	tom hat mich reingelegt
tom shot mary	tom erschoss mary
tom shot mary	tom hat mary erschossen
tom staggered	tom wankte
tom succeeded	tom hatte erfolg
tom taught me	tom zeigte es mir
tom taught me	tom hat es mir gezeigt
tom texted me	tom hat mich angeschrieben
tom told mary	tom sagte es maria
tom trusts me	tom vertraut mir
tom trusts us	tom vertraut uns
tom wanted it	tom wollte es
tom wants one	tom will eins
tom wants one	tom will eine
tom wants one	tom will einen
tom wants you	tom will dich
tom warned us	tom hat uns davor gewarnt
tom was a spy	tom war ein spion
tom was alone	tom war allein
tom was angry	tom war wutend
tom was blind	tom war blind
tom was bored	tom war gelangweilt
tom was brave	tom war mutig
tom was dirty	tom war schmutzig
tom was dizzy	tom war schwindelig
tom was drunk	tom war betrunken
tom was dying	tom war am sterben
tom was early	tom war fruh dran
tom was fired	tom wurde gefeuert
tom was frank	tom war aufrichtig
tom was great	tom war super
tom was happy	tom war glucklich
tom was hired	tom wurde eingestellt
tom was livid	tom war auf achtzig
tom was livid	tom war fuchsteufelswild
tom was lucky	tom hatte gluck
tom was lying	tom log
tom was naive	tom war naiv
tom was naked	tom war nackt
tom was pushy	tom war aufdringlich
tom was quick	tom war schnell
tom was quiet	tom war wortkarg
tom was scary	tom war beangstigend
tom was sober	tom war nuchtern
tom was sweet	tom war ganz reizend
tom was there	tom war da
tom was tipsy	tom war beschwipst
tom was tipsy	tom war angetrunken
tom was tired	tom war mude
tom was tough	tom war zah
tom was upset	tom war verargert
tom was upset	tom war besturzt
tom was weary	tom war mude
tom was wrong	tom hatte unrecht
tom was young	tom war jung
tom wasnt ok	tom ging es nicht gut
tom wasnt in	tom war nicht zu hause
tom went away	tom ging weg
tom went home	tom ging nach hause
tom went nuts	tom drehte durch
tom went pale	tom erblasste
tom went pale	tom wurde blass
tom went west	tom zog gen westen
tom whispered	tom flusterte
tom will call	tom wird anrufen
tom will come	tom wird kommen
tom will cook	tom wird kochen
tom will fail	tom wird versagen
tom will fail	tom wird durchfallen
tom will know	tom wird es wissen
tom will obey	tom wird gehorchen
tom will sing	tom wird singen
tom will swim	tom wird schwimmen
tom will talk	tom wird erzahlen
tom will wait	tom wird warten
tom will walk	tom geht zu fu
tom will walk	tom wird laufen
tom will work	tom wird arbeiten
tom won again	tom hat wieder gewonnen
tom wont die	tom wird nicht sterben
tom wont win	tom wird nicht gewinnen
tom would cry	tom wurde weinen
tom zoomed in	tom zoomte rein
tomll change	tom wird sich andern
tomll change	tom wird sich umziehen
tomll manage	tom wird zurechtkommen
toms adopted	tom wurde adoptiert
toms amazing	tom ist erstaunlich
toms annoyed	tom ist genervt
toms anxious	tom ist verunsichert
toms choking	tom erstickt
toms choking	tom ist am wurgen
toms cooking	tom kocht
toms correct	tom hat recht
toms correct	tom hat recht
toms elderly	tom ist schon etwas alter
toms engaged	tom ist verlobt
toms fainted	tom ist ohnmachtig geworden
toms healthy	tom ist gesund
toms helping	tom hilft
toms injured	tom ist verletzt
toms limping	tom hinkt
toms limping	tom humpelt
toms missing	tom fehlt
toms packing	tom packt
toms resting	tom ruht sich aus
toms singing	tom singt
toms smoking	tom raucht
toms strange	tom ist komisch
toms thirsty	tom hat durst
toms unarmed	tom ist unbewaffnet
toms useless	tom ist nutzlos
toms violent	tom ist gewalttatig
toms wounded	tom ist verwundet
toms wounded	tom ist verletzt
toms yelling	tom schreit
tom im here	tom ich bin hier
tom im home	tom ich bin zu hause
try and do it	versuch es und mach es
try and do it	versuchen sie es und machen sie es
use your feet	machen sie von ihren fuen gebrauch
use your fist	nutze deine faust
wait a minute	einen augenblick
wait a minute	gib mir eine minute
wait a minute	warte eine minute
wait a moment	warte einen augenblick
wait a moment	warte mal kurz
wait a moment	wartet mal kurz
wait a moment	warten sie mal kurz
wait a second	warte mal kurz
wait a second	moment mal
wait a second	augenblick mal
wait till six	warte bis sechs
wait till six	warten sie bis sechs
walk this way	gehe hier entlang
walk this way	gehen sie hier entlang
was i snoring	habe ich geschnarcht
was tom angry	war tom wutend
was tom fired	ist tom entlassen worden
was tom fired	wurde tom entlassen
was tom funny	war tom lustig
was tom happy	war tom glucklich
was tom right	hatte tom recht
was tom there	war tom da
was it a joke	war es ein scherz
was that a no	war das ein nein
watch closely	schau genau zu
watch closely	schauen sie genau zu
watch closely	schau gut zu
watch closely	schauen sie gut zu
watch my back	gib mir ruckendeckung
wax the floor	bohnere den fuboden
we admire you	wir bewundern dich
we admire you	wir bewundern sie
we admire you	wir bewundern euch
we all change	wir alle verandern uns
we all change	wir verandern uns alle
we are at war	wir sind im krieg
we are doomed	wir sind verloren
we are hungry	wir sind hungrig
we can manage	wir kommen schon klar
we can try it	wir konnen es versuchen
we cant lose	wir konnen nicht verlieren
we cant wait	wir konnen nicht warten
we caught tom	wir haben tom gefangen
we caught tom	wir haben tom erwischt
we didnt try	wir habens nicht versucht
we do love it	wir lieben es
we dont know	wir wissen es nicht
we found them	wir haben sie gefunden
we got robbed	wir wurden ausgeraubt
we got robbed	wir sind ausgeraubt worden
we had a plan	wir hatten einen plan
we had doubts	wir hatten zweifel
we have a car	wir haben ein auto
we have plans	wir haben plane
we have rules	wir haben regeln
we have to go	wir mussen gehen
we helped tom	wir halfen tom
we hit it off	wir haben uns sofort prima verstanden
we like music	wir mogen musik
we meant well	wir haben es gut gemeint
we missed you	du hast uns gefehlt
we must focus	wir mussen uns konzentrieren
we need a car	wir brauchen einen wagen
we need a map	wir brauchen eine karte
we need a map	wir brauchen eine landkarte
we need money	wir brauchen geld
we need money	wir haben geld notig
we need music	wir brauchen musik
we need paper	wir brauchen papier
we need to go	wir mussen gehen
we need tools	wir brauchen werkzeug
we need water	wir brauchen wasser
we never lose	wir verlieren nie
we never sing	wir singen nie
we never swim	wir schwimmen nie
we never talk	wir reden nie
we want a car	wir wollen ein auto
we want candy	wir wollen etwas sues
we want candy	wir wollen suigkeiten
we want peace	wir wollen frieden
we want to go	wir wollen gehen
we were bored	wir haben uns gelangweilt
we were bored	uns war langweilig
we were drunk	wir waren betrunken
we were happy	wir waren glucklich
we were lucky	gluck gehabt
we were right	wir hatten recht
we were wrong	wir haben uns geirrt
we will fight	wir werden kampfen
we wont lose	wir werden nicht verlieren
we wonder why	wir fragen uns wieso
well all die	wir werden alle sterben
well ask tom	wir werden tom fragen
well ask tom	wir werden tom bitten
well be busy	wir werden beschaftigt sein
well be fine	uns wird es gut gehen
well be fine	wir werden schon klarkommen
well be here	wir werden hier sein
well be late	wir werden uns verspaten
well do that	das machen wir
well do that	wir werden das tun
well get one	wir werden eins bekommen
well go home	wir werden nach hause gehen
well hide it	wir werden es verstecken
well make it	wir werden es machen
well move in	wir werden einziehen
well see you	wir werden dich treffen
well stop it	wir werden es stoppen
well succeed	wir werden erfolgreich sein
well survive	wir werden uberleben
well survive	wir werdens uberleben
well take it	wir werden es nehmen
well take it	wir nehmen es
well take it	wir nehmen ihn
well take it	wir nehmen sie
were ashamed	wir schamen uns
were at home	wir sind zu hause
were baffled	wir sind verblufft
were careful	wir sind vorsichtig
were certain	wir sind uns sicher
were correct	wir haben recht
were cousins	wir sind cousins
were curious	wir sind neugierig
were dancing	wir tanzen
were dancing	wir tanzen gerade
were dieting	wir sind gerade auf diat
were doctors	wir sind arzte
were enemies	wir sind feinde
were engaged	wir sind verlobt
were fasting	wir fasten
were fasting	wir fasten gerade
were friends	wir sind freunde
were friends	wir sind freundinnen
were friends	wir sind befreundet
were humming	wir summen
were humming	wir summen gerade
were in love	wir sind verliebt
were kidding	wir machen nur spa
were lawyers	wir sind rechtsanwalte
were leaving	wir gehen
were leaving	wir verschwinden
were married	wir sind verheiratet
were nervous	wir sind nervos
were parents	wir sind eltern
were patient	wir sind geduldig
were popular	wir sind beliebt
were reading	wir lesen gerade
were reading	wir sind dabei zu lesen
were reading	wir sind am lesen
were shocked	wir sind schockiert
were sinking	wir sinken
were so busy	wir sind so beschaftigt
were special	wir sind besonders
were stalled	wir sind ins stocken geraten
were staying	wir bleiben
were trapped	wir sitzen in der falle
were unhappy	wir sind unglucklich
were unlucky	wir haben pech
were unusual	wir sind ungewohnlich
were useless	wir sind nutzlos
were wealthy	wir sind wohlhabend
were winners	wir sind gewinner
were winning	wir sind dabei zu gewinnen
were winning	wir sind am gewinnen
were working	wir arbeiten
were worried	wir machen uns sorgen
were worried	wir sind besorgt
weve arrived	wir sind da
weve arrived	wir sind angekommen
weve made it	wir haben es geschafft
weve made it	wir haben es geschafft
were you busy	warst du beschaftigt
were you busy	waren sie beschaftigt
were you busy	wart ihr beschaftigt
were you shot	wurdest du angeschossen
were you shot	wurden sie angeschossen
were you sick	warst du krank
were you sick	waren sie krank
were you sick	wart ihr krank
what a hassle	was fur ein zirkus
what a relief	was fur eine erleichterung
what about me	und ich
what about us	was ist mit uns
what an idiot	was fur ein idiot
what are they	was sind diese dinge
what can i do	was kann ich tun
what can i do	was kann ich machen
what do i get	was bekomme ich
what do i owe	was bin ich schuldig
what happened	was passierte
what happened	was ist geschehen
what happened	was war los
what happened	was hat sich zugetragen
what is a ufo	was ist ein ufo
what is truth	was ist wahrheit
what nonsense	was fur ein unsinn
what was left	was ist ubriggeblieben
what was left	was blieb ubrig
what was that	was war das
what was that	was war das denn
whats inside	was ist drin
whats it for	wozu benutzt man das
when do we go	wann gehen wir
whens dinner	wann gibts abendbrot
where are you	wo bist du
where are you	wo seid ihr
where are you	wo sind sie
where is that	wo ist das
